======================================================================
Top-5 Activation Analysis: Qwen3-1.7B
======================================================================
Model type: qwen3, Layers: 28, Hidden: 2048
Loading model from /root/paddlejob/workspace/env_run/clx/models/Qwen3/Qwen3-1.7B ...
Model files size: 3.8 GB
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:01<00:01,  1.52s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.33it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.15it/s]
Loaded on single GPU (cuda:0)
Input device: cuda:0
Loading data from /root/paddlejob/workspace/env_run/clx/datasets/eval_diverse_5k_qwen3.jsonl ...
Loaded 2000 samples (lengths: min=1837, max=5358, avg=3527)
Created 63 batches (batch_size=32, padding ratio=0.6%)
Registered 86 hooks
Running forward passes...
  Batch 1/63 done
  Batch 20/63 done
  Batch 40/63 done
  Batch 60/63 done
Forward passes complete.

======================================================================
Top-5 Absolute Activation Values — Qwen3-1.7B
======================================================================
Layer    Component          Top5 AbsMean Top5 Values
15       mlp_output                86.80 [90.0, 87.5, 87.0, 85.0, 84.5]
15       attn_output               58.15 [59.0, 58.2, 58.0, 58.0, 57.5]
16       hidden                 14118.40 [14592.0, 14336.0, 13888.0, 13888.0, 13888.0]
16       mlp_output               134.10 [144.0, 137.0, 132.0, 130.0, 127.5]
16       attn_output               95.30 [98.0, 96.5, 94.0, 94.0, 94.0]
17       hidden                 14118.40 [14592.0, 14336.0, 13888.0, 13888.0, 13888.0]
17       mlp_output               109.20 [115.5, 110.0, 109.0, 107.0, 104.5]
17       attn_output              123.50 [125.0, 125.0, 123.5, 122.5, 121.5]
18       hidden                 14118.40 [14592.0, 14336.0, 13888.0, 13888.0, 13888.0]
18       mlp_output               117.00 [121.5, 117.0, 116.5, 115.5, 114.5]
18       attn_output              108.10 [113.5, 107.0, 107.0, 106.5, 106.5]
19       hidden                 14118.40 [14592.0, 14336.0, 13888.0, 13888.0, 13888.0]
19       mlp_output               175.80 [193.0, 174.0, 171.0, 171.0, 170.0]
19       attn_output              114.30 [119.5, 118.0, 114.5, 110.5, 109.0]
20       hidden                 14118.40 [14592.0, 14336.0, 13888.0, 13888.0, 13888.0]
20       mlp_output               229.40 [254.0, 225.0, 225.0, 223.0, 220.0]
20       attn_output              162.60 [166.0, 165.0, 161.0, 161.0, 160.0]
21       hidden                 14118.40 [14592.0, 14336.0, 13888.0, 13888.0, 13888.0]
21       mlp_output               420.00 [446.0, 418.0, 416.0, 410.0, 410.0]
21       attn_output              127.00 [136.0, 132.0, 125.5, 122.5, 119.0]
22       hidden                 14118.40 [14592.0, 14336.0, 13888.0, 13888.0, 13888.0]
22       mlp_output               712.00 [736.0, 716.0, 712.0, 700.0, 696.0]
22       attn_output              135.80 [137.0, 136.0, 136.0, 135.0, 135.0]
23       hidden                 14182.40 [14656.0, 14400.0, 13952.0, 13952.0, 13952.0]
23       mlp_output               808.00 [824.0, 812.0, 808.0, 808.0, 788.0]
23       attn_output              151.20 [157.0, 155.0, 150.0, 147.0, 147.0]
24       hidden                 14246.40 [14720.0, 14464.0, 14016.0, 14016.0, 14016.0]
24       mlp_output               940.00 [968.0, 944.0, 936.0, 932.0, 920.0]
24       attn_output              232.60 [235.0, 235.0, 232.0, 231.0, 230.0]
25       hidden                 14310.40 [14784.0, 14528.0, 14080.0, 14080.0, 14080.0]
25       mlp_output               841.60 [952.0, 820.0, 816.0, 812.0, 808.0]
25       attn_output              286.40 [294.0, 286.0, 286.0, 284.0, 282.0]
26       hidden                 14246.40 [14720.0, 14464.0, 14016.0, 14016.0, 14016.0]
26       mlp_output               943.20 [1120.0, 948.0, 892.0, 884.0, 872.0]
26       attn_output              759.20 [772.0, 756.0, 756.0, 756.0, 756.0]
27       hidden                  8006.40 [8256.0, 8256.0, 7904.0, 7840.0, 7776.0]
27       mlp_output             11827.20 [11968.0, 11904.0, 11840.0, 11712.0, 11712.0]
27       attn_output              968.80 [996.0, 968.0, 968.0, 960.0, 952.0]

Global top-5 absolute values: ['14784.0', '14720.0', '14720.0', '14656.0', '14592.0']
Global top-5 absolute mean: 14694.40

Results saved to: /root/paddlejob/workspace/env_run/clx/activation_analysis/results/Qwen3/Qwen3-1.7B_top5_stats.json
Done!

